"1995","Belgium","b"
"2005","Greece","b"
"2008","Greece","p"
"2009","Greece","p"
"2010","Greece","p"
"2011","Greece","p"
"2012","Greece","p"
"1991","Spain","e"
"1992","Spain","e"
"1993","Spain","e"
"1994","Spain","e"
"2012","Cyprus","p"
"2000","Latvia","b"
"2001","Latvia","b"
"2002","Latvia","b"
"2003","Latvia","b"
"2004","Latvia","b"
"2005","Latvia","b"
"2006","Latvia","b"
"2007","Latvia","b"
"2008","Latvia","b"
"2009","Latvia","b"
"2010","Latvia","b"
"2011","Latvia","b"
"2011","Lithuania","b"
"2012","Poland","b"
"2011","Portugal","p"
"2012","Portugal","p"
"2008","Slovenia","b"
"2009","Slovenia","b"
"2010","Slovenia","b"
